8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2022-09-22-00:40:07, 55=AAPL, 40=2, 38=25511, 21=2, 11=algo20220922004007, 60=2022-09-22-00:40:07, 54=1, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2022-09-22-00:40:07, 55=AAPL, 40=2, 38=25511, 21=2, 11=algo20220922004007, 60=2022-09-22-00:40:07, 54=1, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=54, 49=M3, 56=MS, 52=2022-09-22-00:40:09, 55=MSFT, 40=2, 38=30708, 21=2, 11=algo20220922004009, 60=2022-09-22-00:40:09, 54=2, 44=59.89, 10=0252,
8=FIX4.4, 35=D, 34=55, 49=M3, 56=MS, 52=2022-09-22-00:40:13, 55=AMZN, 40=2, 38=26409, 21=2, 11=algo20220922004013, 60=2022-09-22-00:40:13, 54=1, 44=133.47, 10=0252,
8=FIX4.4, 35=D, 34=57, 49=M3, 56=MS, 52=2022-09-22-00:40:16, 55=FB, 40=2, 38=15498, 21=2, 11=algo20220922004016, 60=2022-09-22-00:40:16, 54=2, 44=430.62, 10=0252,
8=FIX4.4, 35=D, 34=57, 49=M3, 56=MS, 52=2022-09-22-00:40:16, 55=FB, 40=2, 38=15498, 21=2, 11=algo20220922004016, 60=2022-09-22-00:40:16, 54=2, 44=430.62, 10=0252,
8=FIX4.4, 35=D, 34=58, 49=M3, 56=MS, 52=2022-09-22-00:40:19, 55=GOOG, 40=2, 38=1086, 21=2, 11=algo20220922004019, 60=2022-09-22-00:40:19, 54=2, 44=42.05, 10=0252,
8=FIX4.4, 35=D, 34=60, 49=M3, 56=MS, 52=2022-09-22-00:40:22, 55=GOOGL, 40=2, 38=26092, 21=2, 11=algo20220922004022, 60=2022-09-22-00:40:22, 54=1, 44=289.20, 10=0252,
8=FIX4.4, 35=D, 34=62, 49=M3, 56=MS, 52=2022-09-22-00:40:25, 55=INTC, 40=2, 38=5481, 21=2, 11=algo20220922004025, 60=2022-09-22-00:40:25, 54=2, 44=339.13, 10=0252,
8=FIX4.4, 35=D, 34=64, 49=M3, 56=MS, 52=2022-09-22-00:40:27, 55=PEP, 40=2, 38=2193, 21=2, 11=algo20220922004027, 60=2022-09-22-00:40:27, 54=1, 44=36.21, 10=0252,
8=FIX4.4, 35=D, 34=66, 49=M3, 56=MS, 52=2022-09-22-00:40:29, 55=NFLX, 40=2, 38=5023, 21=2, 11=algo20220922004029, 60=2022-09-22-00:40:29, 54=1, 44=306.71, 10=0252,
8=FIX4.4, 35=D, 34=67, 49=M3, 56=MS, 52=2022-09-22-00:40:30, 55=CSCO, 40=2, 38=10987, 21=2, 11=algo20220922004030, 60=2022-09-22-00:40:30, 54=1, 44=233.73, 10=0252,
8=FIX4.4, 35=D, 34=69, 49=M3, 56=MS, 52=2022-09-22-00:40:33, 55=AMGN, 40=2, 38=18453, 21=2, 11=algo20220922004033, 60=2022-09-22-00:40:33, 54=2, 44=116.62, 10=0252,
8=FIX4.4, 35=D, 34=71, 49=M3, 56=MS, 52=2022-09-22-00:40:35, 55=PYPL, 40=2, 38=17050, 21=2, 11=algo20220922004035, 60=2022-09-22-00:40:35, 54=1, 44=723.61, 10=0252,
8=FIX4.4, 35=D, 34=73, 49=M3, 56=MS, 52=2022-09-22-00:40:37, 55=TSLA, 40=2, 38=2843, 21=2, 11=algo20220922004037, 60=2022-09-22-00:40:37, 54=1, 44=503.77, 10=0252,
8=FIX4.4, 35=D, 34=75, 49=M3, 56=MS, 52=2022-09-22-00:40:39, 55=TXN, 40=2, 38=24282, 21=2, 11=algo20220922004039, 60=2022-09-22-00:40:39, 54=1, 44=112.46, 10=0252,
8=FIX4.4, 35=D, 34=76, 49=M3, 56=MS, 52=2022-09-22-00:40:40, 55=AVGO, 40=2, 38=11698, 21=2, 11=algo20220922004040, 60=2022-09-22-00:40:40, 54=1, 44=262.99, 10=0252,
8=FIX4.4, 35=D, 34=78, 49=M3, 56=MS, 52=2022-09-22-00:40:42, 55=GILD, 40=2, 38=26704, 21=2, 11=algo20220922004042, 60=2022-09-22-00:40:42, 54=1, 44=82.91, 10=0252,
8=FIX4.4, 35=D, 34=80, 49=M3, 56=MS, 52=2022-09-22-00:40:45, 55=SBUX, 40=2, 38=22949, 21=2, 11=algo20220922004045, 60=2022-09-22-00:40:45, 54=1, 44=75.71, 10=0252,
8=FIX4.4, 35=D, 34=82, 49=M3, 56=MS, 52=2022-09-22-00:40:49, 55=QCOM, 40=2, 38=5392, 21=2, 11=algo20220922004049, 60=2022-09-22-00:40:49, 54=1, 44=75.47, 10=0252,
